,resource_id,ts,node_hwmon_temp_celsius,node_cpu_seconds_total,node_memory_MemTotal_bytes,node_memory_MemFree_bytes,node_disk_read_bytes_total_x,node_disk_read_bytes_total_y
0,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723708200.0,37.65777777777775,26668.10711111111,1081840218112.0,1035257262899.2,437757678.93333334,437757678.93333334
1,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723708500.0,39.7983333333333,32295.407499999998,1081840218112.0,1034849867776.0,558986137.6,558986137.6
2,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723708800.0,39.41499999999996,35008.42033333333,1081840218112.0,1034586078617.6,557968435.2,557968435.2
3,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723709100.0,38.684166666666634,20156.017833333335,1081840218112.0,1034435166958.9333,557295385.6,557295385.6
4,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723709400.0,37.64583333333329,23935.3265,1081840218112.0,1034319880192.0,290999321.6,290999321.6
5,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723709700.0,39.996666666666634,23941.202333333335,1081840218112.0,1034200131993.6,625434982.4,625434982.4
6,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723710000.0,40.57249999999996,40067.61216666667,1081840218112.0,1033806173866.6666,640101521.0666667,640101521.0666667
7,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723710300.0,41.5533333333333,16418.89,1081840218112.0,1034011278677.3334,597991483.7333333,597991483.7333333
8,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723710600.0,35.8983333333333,32181.128000000008,1081840218112.0,1033985493811.2,542981512.5333333,542981512.5333333
9,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723710900.0,38.94166666666663,39889.534666666674,1081840218112.0,1033944827426.1333,457376384.0,457376384.0
10,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723711200.0,39.414999999999964,36542.7665,1081840218112.0,1033894779016.5333,579356475.7333333,579356475.7333333
11,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723711500.0,39.060833333333306,19962.052666666666,1081840218112.0,1033820773649.0667,510855185.06666666,510855185.06666666
12,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723711800.0,36.51749999999996,43838.562999999995,1081840218112.0,1033746429952.0,521533815.46666664,521533815.46666664
13,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723712100.0,37.934166666666634,12350.882833333331,1081840218112.0,1033784123187.2,473413307.73333335,473413307.73333335
14,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723712400.0,40.0008333333333,36560.21033333334,1081840218112.0,1033792636859.7333,636638327.4666667,636638327.4666667
15,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723712700.0,36.8983333333333,32764.06683333333,1081840218112.0,1033747209762.1333,613302869.3333334,613302869.3333334
16,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723713000.0,37.00999999999996,20415.667833333337,1081840218112.0,1033763569527.4667,448826282.6666667,448826282.6666667
17,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723713300.0,36.8958333333333,24516.31266666667,1081840218112.0,1033719709832.5333,638107366.4,638107366.4
18,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723713600.0,41.42749999999997,24550.360833333332,1081840218112.0,1033625049361.0667,638003805.8666667,638003805.8666667
