,ts,Temperature
0,1725972300.0,33.157142857142844
1,1725972600.0,31.97916666666664
2,1725972900.0,31.190833333333305
3,1725973200.0,34.65999999999996
4,1725973500.0,33.85999999999996
5,1725973800.0,32.479166666666636
6,1725974100.0,32.09833333333331
7,1725974400.0,31.884166666666633
8,1725974700.0,33.75999999999997
9,1725975000.0,32.27916666666663
10,1725975300.0,30.462499999999974
11,1725975600.0,29.349999999999973
12,1725975900.0,31.554999999999968
13,1725976200.0,32.676666666666634
14,1725976500.0,32.97666666666664
15,1725976800.0,30.059999999999967
16,1725977100.0,31.974166666666637
17,1725977400.0,33.054999999999964
18,1725977700.0,34.40999999999997
19,1725978000.0,32.054999999999964
20,1725978300.0,33.22416666666663
21,1725978600.0,31.700833333333303
22,1725978900.0,32.82666666666663
23,1725979200.0,33.36249999999996
24,1725979500.0,31.198333333333306
25,1725979800.0,30.690833333333305
26,1725980100.0,31.364999999999966
27,1725980400.0,33.38166666666664
28,1725980700.0,32.176666666666634
29,1725981000.0,32.19833333333331
30,1725981300.0,30.371666666666638
31,1725981600.0,30.657499999999974
32,1725981900.0,29.721666666666636
33,1725982200.0,31.131666666666643
34,1725982500.0,30.943333333333303
35,1725982800.0,33.162499999999966
36,1725983100.0,31.776666666666635
37,1725983400.0,32.23416666666664
38,1725983700.0,32.619999999999976
39,1725984000.0,34.46499999999996
40,1725984300.0,31.676666666666637
41,1725984600.0,31.5983333333333
42,1725984900.0,30.076666666666636
43,1725985200.0,30.65249999999997
44,1725985500.0,34.054999999999964
45,1725985800.0,32.4908333333333
46,1725986100.0,30.75499999999997
47,1725986400.0,31.540833333333307
48,1725986700.0,32.44333333333331
49,1725987000.0,33.2908333333333
50,1725987300.0,35.967499999999966
51,1725987600.0,30.845833333333303
52,1725987900.0,31.279166666666633
53,1725988200.0,33.00999999999997
54,1725988500.0,34.198333333333295
55,1725988800.0,34.11249999999996
56,1725989100.0,32.4483333333333
57,1725989400.0,32.045833333333306
58,1725989700.0,35.1958333333333
59,1725990000.0,35.198333333333295
60,1725990300.0,34.279166666666626
61,1725990600.0,31.25749999999997
62,1725990900.0,32.60999999999997
63,1725991200.0,34.02416666666663
64,1725991500.0,34.00749999999996
65,1725991800.0,31.32666666666664
66,1725992100.0,31.30749999999997
67,1725992400.0,34.831666666666635
68,1725992700.0,36.2033333333333
69,1725993000.0,34.95333333333329
70,1725993300.0,31.888333333333303
71,1725993600.0,33.25999999999997
72,1725993900.0,36.46499999999996
73,1725994200.0,33.3908333333333
74,1725994500.0,31.831666666666635
75,1725994800.0,32.98416666666663
76,1725995100.0,33.18583333333329
77,1725995400.0,32.9958333333333
78,1725995700.0,30.724166666666637
79,1725996000.0,30.829166666666637
80,1725996300.0,33.640833333333305
81,1725996600.0,36.914999999999964
82,1725996900.0,33.3983333333333
83,1725997200.0,32.526666666666635
84,1725997500.0,32.27416666666664
85,1725997800.0,33.831666666666635
86,1725998100.0,34.40999999999996
87,1725998400.0,33.08416666666663
88,1725998700.0,32.32916666666663
89,1725999000.0,34.452499999999965
90,1725999300.0,33.8958333333333
91,1725999600.0,32.02916666666664
92,1725999900.0,32.13416666666663
93,1726000200.0,34.41499999999997
94,1726000500.0,34.5908333333333
95,1726000800.0,33.27916666666663
96,1726001100.0,33.18166666666663
97,1726001400.0,33.0933333333333
98,1726001700.0,35.42416666666663
99,1726002000.0,34.617499999999964
100,1726002300.0,31.0383333333333
101,1726002600.0,32.91999999999997
102,1726002900.0,35.08166666666663
103,1726003200.0,35.1458333333333
104,1726003500.0,34.93916666666664
105,1726003800.0,32.859999999999964
106,1726004100.0,33.459999999999965
107,1726004400.0,34.62416666666663
108,1726004700.0,34.0958333333333
109,1726005000.0,33.41749999999997
110,1726005300.0,32.02916666666663
111,1726005600.0,35.8933333333333
112,1726005900.0,33.690833333333295
113,1726006200.0,31.369166666666636
114,1726006500.0,32.69833333333331
115,1726006800.0,34.1433333333333
116,1726007100.0,35.859999999999964
117,1726007400.0,32.77666666666663
118,1726007700.0,31.02166666666664
119,1726008000.0,35.298333333333304
120,1726008300.0,34.5908333333333
121,1726008600.0,31.002499999999966
122,1726008900.0,33.581666666666635
123,1726009200.0,31.774166666666638
124,1726009500.0,34.80999999999997
125,1726009800.0,35.305833333333304
126,1726010100.0,33.18916666666664
