,ts,CPU seconds
0,1725972300.0,79499.3292857143
1,1725972600.0,123888.03199999999
2,1725972900.0,89415.07683333335
3,1725973200.0,96924.61899999999
4,1725973500.0,78429.79466666667
5,1725973800.0,88038.40166666669
6,1725974100.0,82486.50433333335
7,1725974400.0,101242.38883333335
8,1725974700.0,83669.74233333334
9,1725975000.0,83716.0541666667
10,1725975300.0,98375.81483333334
11,1725975600.0,85623.01816666668
12,1725975900.0,79423.79049999999
13,1725976200.0,93134.85666666666
14,1725976500.0,55602.4345
15,1725976800.0,42866.68666666666
16,1725977100.0,69854.53733333333
17,1725977400.0,104664.90333333334
18,1725977700.0,93681.65066666665
19,1725978000.0,78246.67816666668
20,1725978300.0,58385.62783333333
21,1725978600.0,80665.85333333335
22,1725978900.0,35159.5055
23,1725979200.0,99178.29016666667
24,1725979500.0,73577.80116666666
25,1725979800.0,51743.90599999999
26,1725980100.0,42625.73549999999
27,1725980400.0,88667.70116666668
28,1725980700.0,126184.711
29,1725981000.0,107226.71366666669
30,1725981300.0,100533.88183333332
31,1725981600.0,113015.55083333333
32,1725981900.0,54784.86116666668
33,1725982200.0,58775.147666666664
34,1725982500.0,44274.59283333333
35,1725982800.0,79016.02683333334
36,1725983100.0,94041.61966666668
37,1725983400.0,68075.77999999998
38,1725983700.0,66078.08283333333
39,1725984000.0,95955.98116666666
40,1725984300.0,114044.94466666666
41,1725984600.0,68686.89466666667
42,1725984900.0,85670.78050000004
43,1725985200.0,55190.49566666666
44,1725985500.0,103088.50600000001
45,1725985800.0,60516.60683333335
46,1725986100.0,76413.18800000001
47,1725986400.0,49891.224666666676
48,1725986700.0,62955.306333333334
49,1725987000.0,61041.13833333333
50,1725987300.0,99237.05683333335
51,1725987600.0,21896.06533333333
52,1725987900.0,110125.30966666664
53,1725988200.0,135680.80700000003
54,1725988500.0,45714.49483333332
55,1725988800.0,92059.31783333332
56,1725989100.0,107868.7526666667
57,1725989400.0,105556.21266666663
58,1725989700.0,51959.38883333332
59,1725990000.0,85179.75183333333
60,1725990300.0,67203.88283333332
61,1725990600.0,74224.95533333333
62,1725990900.0,80498.98816666665
63,1725991200.0,101218.65100000001
64,1725991500.0,88144.56633333332
65,1725991800.0,91244.38366666666
66,1725992100.0,86259.60983333334
67,1725992400.0,55480.041000000005
68,1725992700.0,71243.73200000002
69,1725993000.0,46334.8
70,1725993300.0,77445.05966666667
71,1725993600.0,58640.954333333335
72,1725993900.0,108327.30816666668
73,1725994200.0,47224.05283333333
74,1725994500.0,107018.64
75,1725994800.0,71666.48966666668
76,1725995100.0,70886.25366666664
77,1725995400.0,54741.45483333333
78,1725995700.0,63609.7115
79,1725996000.0,69278.4405
80,1725996300.0,101017.81633333332
81,1725996600.0,78601.90766666667
82,1725996900.0,102099.0285
83,1725997200.0,57567.470666666675
84,1725997500.0,60374.971666666665
85,1725997800.0,83868.91516666669
86,1725998100.0,74381.37100000001
87,1725998400.0,97629.95066666664
88,1725998700.0,68252.59550000001
89,1725999000.0,98948.74099999998
90,1725999300.0,119107.76149999998
91,1725999600.0,117291.70700000001
92,1725999900.0,60336.28383333332
93,1726000200.0,67909.28533333335
94,1726000500.0,52463.05583333334
95,1726000800.0,68068.7395
96,1726001100.0,93736.90983333331
97,1726001400.0,44958.28466666665
98,1726001700.0,75937.33649999998
99,1726002000.0,60712.11566666668
100,1726002300.0,82949.65866666667
101,1726002600.0,130250.46216666666
102,1726002900.0,79315.86866666666
103,1726003200.0,84247.23949999998
104,1726003500.0,138905.35466666668
105,1726003800.0,103827.70100000002
106,1726004100.0,67517.03316666668
107,1726004400.0,97879.17833333337
108,1726004700.0,76150.66150000002
109,1726005000.0,59445.74466666668
110,1726005300.0,94252.40383333334
111,1726005600.0,79796.71766666668
112,1726005900.0,74354.76666666666
113,1726006200.0,72334.67399999997
114,1726006500.0,82647.05866666665
115,1726006800.0,99101.49050000001
116,1726007100.0,78136.89633333334
117,1726007400.0,61951.71883333333
118,1726007700.0,92852.35433333334
119,1726008000.0,102770.86800000003
120,1726008300.0,123427.56099999999
121,1726008600.0,83129.96016666667
122,1726008900.0,47176.973333333335
123,1726009200.0,71343.17266666667
124,1726009500.0,38821.934499999996
125,1726009800.0,111634.48183333334
126,1726010100.0,111366.37349999999
127,1726010400.0,75158.99483333333
128,1726010700.0,79571.98083333332
129,1726011000.0,102401.80966666667
130,1726011300.0,137238.81083333332
131,1726011600.0,80426.1041666667
132,1726011900.0,95297.35799999996
