,ts,CPU load 5 avg
0,1725972300.0,2.2048837209302317
1,1725972600.0,2.1780000000000004
2,1725972900.0,2.5209999999999995
3,1725973200.0,2.578333333333333
4,1725973500.0,2.3633333333333337
5,1725973800.0,2.5296666666666665
6,1725974100.0,3.4043333333333328
7,1725974400.0,2.8105
8,1725974700.0,2.5696666666666657
9,1725975000.0,2.575166666666667
10,1725975300.0,2.7505000000000006
11,1725975600.0,2.9471666666666674
12,1725975900.0,2.506500000000001
13,1725976200.0,2.4013333333333327
14,1725976500.0,2.4598333333333335
15,1725976800.0,2.5001666666666664
16,1725977100.0,3.112166666666666
17,1725977400.0,3.369500000000001
18,1725977700.0,2.9831666666666665
19,1725978000.0,2.6329999999999996
20,1725978300.0,3.560666666666667
21,1725978600.0,3.0104999999999995
22,1725978900.0,2.5499999999999994
23,1725979200.0,2.3286666666666664
24,1725979500.0,3.0369999999999995
25,1725979800.0,2.8783333333333325
26,1725980100.0,3.4476666666666653
27,1725980400.0,3.2081666666666666
28,1725980700.0,2.9908333333333337
29,1725981000.0,4.0313333333333325
30,1725981300.0,5.351
31,1725981600.0,4.6595
32,1725981900.0,3.5335000000000014
33,1725982200.0,4.3646666666666665
34,1725982500.0,8.854166666666668
35,1725982800.0,10.323000000000002
36,1725983100.0,9.629000000000003
37,1725983400.0,6.841166666666666
38,1725983700.0,4.288333333333331
39,1725984000.0,3.004166666666666
40,1725984300.0,2.4996666666666654
41,1725984600.0,2.67
42,1725984900.0,2.7308333333333343
43,1725985200.0,2.9870000000000005
44,1725985500.0,2.990333333333334
45,1725985800.0,3.282166666666668
46,1725986100.0,3.267166666666667
47,1725986400.0,3.142000000000001
48,1725986700.0,3.217499999999999
49,1725987000.0,3.0355000000000008
50,1725987300.0,5.934500000000002
51,1725987600.0,11.265833333333335
52,1725987900.0,13.1415
53,1725988200.0,14.68816666666667
54,1725988500.0,15.001333333333333
55,1725988800.0,14.592333333333332
56,1725989100.0,15.017333333333331
57,1725989400.0,14.821499999999991
58,1725989700.0,14.45683333333334
59,1725990000.0,14.32416666666666
60,1725990300.0,15.238166666666668
61,1725990600.0,24.696666666666676
62,1725990900.0,35.68083333333333
63,1725991200.0,26.8345
64,1725991500.0,19.89216666666667
65,1725991800.0,16.459000000000003
66,1725992100.0,14.903333333333332
67,1725992400.0,14.869333333333334
68,1725992700.0,15.441166666666662
69,1725993000.0,14.81933333333334
70,1725993300.0,14.594333333333335
71,1725993600.0,14.904500000000004
72,1725993900.0,15.114833333333328
73,1725994200.0,14.987499999999992
74,1725994500.0,15.842666666666668
75,1725994800.0,15.395333333333339
76,1725995100.0,15.287
77,1725995400.0,16.268333333333334
78,1725995700.0,17.3915
79,1725996000.0,16.7725
80,1725996300.0,17.1485
81,1725996600.0,16.372666666666667
82,1725996900.0,15.681166666666668
83,1725997200.0,15.432833333333338
84,1725997500.0,15.954333333333333
85,1725997800.0,15.89766666666666
86,1725998100.0,15.516333333333336
87,1725998400.0,15.323666666666666
88,1725998700.0,15.16766666666666
89,1725999000.0,15.167000000000007
90,1725999300.0,16.054333333333332
91,1725999600.0,15.747333333333323
92,1725999900.0,15.769666666666671
93,1726000200.0,15.523666666666667
94,1726000500.0,15.905166666666668
95,1726000800.0,16.166833333333336
96,1726001100.0,15.709666666666662
97,1726001400.0,15.496833333333326
98,1726001700.0,17.417500000000004
99,1726002000.0,16.854
100,1726002300.0,17.063166666666675
101,1726002600.0,17.423333333333336
102,1726002900.0,16.656166666666664
103,1726003200.0,16.661833333333334
104,1726003500.0,16.407500000000002
105,1726003800.0,16.393000000000004
106,1726004100.0,17.059
107,1726004400.0,17.568666666666672
108,1726004700.0,16.737333333333343
109,1726005000.0,16.92883333333334
110,1726005300.0,17.35116666666666
111,1726005600.0,18.305166666666672
112,1726005900.0,17.61766666666667
113,1726006200.0,16.672500000000007
114,1726006500.0,16.245999999999995
115,1726006800.0,16.254166666666674
116,1726007100.0,16.497333333333337
117,1726007400.0,20.922333333333327
118,1726007700.0,25.353166666666663
119,1726008000.0,23.388166666666663
120,1726008300.0,19.974833333333333
121,1726008600.0,18.028333333333332
122,1726008900.0,16.820166666666662
123,1726009200.0,16.192666666666675
124,1726009500.0,17.110333333333333
125,1726009800.0,16.568000000000005
126,1726010100.0,17.027166666666666
127,1726010400.0,17.90583333333333
128,1726010700.0,17.862833333333334
129,1726011000.0,17.47700000000001
130,1726011300.0,17.249833333333335
131,1726011600.0,17.266666666666662
132,1726011900.0,17.638833333333334
133,1726012200.0,17.932499999999994
134,1726012500.0,17.408666666666665
135,1726012800.0,17.394166666666667
136,1726013100.0,17.348666666666666
137,1726013400.0,17.432499999999997
138,1726013700.0,17.80516666666666
139,1726014000.0,18.37683333333334
140,1726014300.0,18.91016666666667
141,1726014600.0,18.4385
142,1726014900.0,17.889666666666663
143,1726015200.0,17.64
144,1726015500.0,20.90116666666666
145,1726015800.0,36.405833333333334
146,1726016100.0,29.986666666666668
147,1726016400.0,22.192999999999998
148,1726016700.0,19.47283333333333
149,1726017000.0,19.020666666666664
150,1726017300.0,18.23616666666667
151,1726017600.0,17.67933333333333
152,1726017900.0,17.438999999999997
153,1726018200.0,18.311999999999998
154,1726018500.0,18.06066666666667
155,1726018800.0,17.389
156,1726019100.0,17.453666666666667
157,1726019400.0,17.76866666666666
158,1726019700.0,18.233999999999998
159,1726020000.0,17.715666666666674
160,1726020300.0,17.741333333333333
161,1726020600.0,18.043000000000003
162,1726020900.0,19.381833333333343
163,1726021200.0,19.91266666666667
164,1726021500.0,19.493500000000004
