iter	RMSE
139	21442324.34
140	21237069.81
141	21090601.81
142	20933659.26
143	20664926.46
144	20564882.24
145	20420648.7
146	20292694.92
147	20205560.39
148	20000758.47
149	19889479.93
150	19778066.38
151	19540240.58
152	19422683.81
153	19210959.57
154	19050412.29
155	18941053.5
156	18846777.61
157	18694683.53
158	18544798.48
159	18452163.61
160	18371299.47
161	18212171.55
162	18078600.69
163	17960497.96
164	17763001.38
165	17607426.12
166	17477284.13
167	17252929.18
168	17144072.12
169	17055608.32
170	16891268.2
171	16683621.39
172	16613740.23
173	16529620.01
174	16460854.19
175	16393510.77
176	16286367.41
177	16043090.92
178	15839658.98
179	15755877.61
180	15644422.52
181	15571680.74
182	15482737.22
183	15370275.18
184	15297172.33
185	15214612.99
186	15017993.77
187	14947309.01
188	14850172.43
189	14670485
190	14607092.63
191	14549941.63
192	14374496.58
193	14171082.36
194	14073636.32
195	13973264.96
196	13801495.98
197	13730292.4
198	13568329.24
199	13493802.1
200	13420253.55
201	13270911.88
202	13219254.69
203	13163472.45
204	13091763.73
205	13039307.02
206	12882897.11
207	12806624.01
208	12657617.76
209	12590000.8
210	12515305.43
211	12367585.39
212	12305143.92
213	12247189.85
214	12171271.14
215	12093543.06
216	12041445.7
217	11985993.77
218	11881159.64
219	11723814.49
220	11656672.45
221	11519425.37
222	11430933.84
223	11371535.62
224	11323041.69
225	11272218.3
226	11222047.04
227	11174021.98
228	11020268.54
229	10895142.22
230	10845550.12
231	10799427.11
232	10657306.34
233	10586241.58
234	10521558.94
235	10469414.41
236	10413233.76
237	10359592.01
238	10315328.67
239	10185834.66
240	10138729.74
241	10077541.35
242	10032531.75
243	9985702.196
244	9857400.856
245	9725898.915
246	9604785.687
247	9560661.043
248	9441354.204
249	9398970.688
250	9357571.551
251	9236456.869
252	9178342.001
253	9121129.576
254	9083715.446
255	9044638.062
256	9006052.589
257	8966373.297
258	8904401.844
259	8866514.86
260	8832611.334
261	8796302.3
262	8680525.309
263	8641202.161
264	8534837.73
265	8444834.036
266	8406864.99
267	8354741.418
268	8323666.179
269	8291828.037
270	8199641.659
271	8105999.592
272	8070791.878
273	7972646.984
274	7940705.631
275	7904279.552
276	7870196.357
277	7839333.257
278	7808613.412
279	7708213.322
280	7681611.452
281	7649320.888
282	7563186.158
283	7534064.128
284	7463083.883
285	7434643.806
286	7406559.715
287	7323774.588
288	7296758.032
289	7212762.984
290	7183452.786
291	7154494.623
292	7126329.459
293	7048542.592
294	7023252.786
295	6958288.557
296	6935685.376
297	6908555.089
298	6838232.471
299	6769317.158
300	6696328.535
301	6674148.474
302	6651083.119
303	6630096.475
304	6606231.603
305	6534577.666
306	6512014.334
307	6490059.748
308	6470295.99
309	6450810.131
310	6427447.9
311	6404354.092
312	6344264.228
313	6323751.954
314	6262927.532
315	6243485.563
316	6175502.859
317	6113409.199
318	6093665.281
319	6074202.492
320	6055868.292
321	5997421.052
322	5979971.444
323	5959523.394
324	5941005.39
325	5877797.574
326	5861023.395
327	5809302.82
328	5790568.242
329	5740300.605
330	5722491.705
331	5706864.375
332	5653141.909
333	5635673.542
334	5619287.784
335	5604394.22
336	5588683.554
337	5534763.958
338	5520254.16
339	5505008.469
340	5456613.765
341	5442461.925
342	5391243.162
343	5376631.904
344	5331825.887
345	5317543.237
346	5270065.713
347	5256107.919
348	5243186.775
349	5230455.199
350	5184122.34
351	5170820.638
352	5125408.299
353	5109232.694
354	5062623.077
355	5049975.798
356	5037501.705
357	4994747.484
358	4983055.803
359	4968155.476
360	4926241.134
361	4914501.729
362	4902923.44
363	4891991.336
364	4852093.259
365	4838272.059
366	4827251.051
367	4816852.835
368	4806608.691
369	4768359.641
370	4729295.594
371	4718885.149
372	4708627.502
373	4671460.918
374	4661878.119
375	4651657.698
376	4614120.714
377	4604176.091
378	4572858.842
379	4563884.207
380	4554591.894
381	4524488.356
382	4491561.093
383	4482992.019
384	4474551.773
385	4466567.053
386	4434325.269
387	4405919.303
388	4398187.887
389	4363259.572
390	4332060.705
391	4324469.56
392	4316990.022
393	4309709.346
394	4282899.973
395	4258723.413
396	4228195.881
397	4202770.957
398	4195806.296
399	4173011.409
400	4149218.572
401	4142483.367
402	4115485.491
403	4108553.719
404	4102151.017
405	4076047.222
406	4048993.054
407	4042797.236
408	4036693.752
409	4030681.349
410	4024758.785
411	4016482.493
412	3992880.381
413	3970176.632
414	3944690.535
415	3920069.596
416	3912428.647
417	3904938.196
418	3879240.427
419	3873940.738
420	3853557.186
421	3831039.406
422	3822905.895
423	3803016.769
424	3796219.127
425	3788812.176
426	3772123.644
427	3749713.344
428	3744657.108
429	3728297.009
430	3712201.088
431	3707363.22
432	3688957.22
433	3684507.367
434	3679861.22
435	3658036.759
436	3636414.928
437	3632168.753
438	3616713.262
439	3606814.315
440	3597152.962
441	3577026.883
442	3563443.838
443	3545307.032
444	3536354.105
445	3518300.057
446	3500208.545
447	3482778.456
448	3466215.843
449	3451193.868
450	3434596.261
451	3421733.2
452	3405067.981
453	3393662.533
454	3390209.539
455	3386165.485
456	3370686.123
457	3354864.699
458	3343773.49
459	3340291.449
460	3337241.018
461	3319938.156
462	3316828.543
463	3305717.08
464	3283724.851
465	3280724.625
466	3268347.287
467	3264080.012
468	3260351.814
469	3247667.494
470	3232214.486
471	3223332.18
472	3220618.393
473	3208724.428
474	3192052.109
475	3187612.314
476	3173426.834
477	3170876.129
478	3168202.759
479	3159532.927
480	3156608.371
481	3146302.157
482	3142328.816
483	3138410.181
484	3135446.304
485	3119633.328
486	3112762.478
487	3108411.192
488	3088624.692
489	3076308.414
490	3074170.709
491	3072048.732
492	3063078.904
493	3059574.23
494	3045304.576
495	3034393.466
496	3022613.978
497	3011816.369
498	2997851.686
499	2993607.109
500	2983051.688
501	2975688.48
502	2967212.358
503	2957367.98
504	2947828.818
505	2937239.926
506	2931124.319
507	2927185.582
508	2915159.216
509	2911017.625
510	2907505.958
511	2903800.206
512	2886150.627
513	2867838.093
514	2851995.866
515	2849362.162
516	2839627.615
517	2838065.491
518	2835511.993
519	2834004.593
520	2831618.724
521	2825565.096
522	2823556.104
523	2811842.386
524	2809993.378
525	2806843.392
526	2791832.642
527	2779988.428
528	2777817.306
529	2775695.464
530	2770316.393
531	2760076.323
532	2750987.671
533	2749757.404
534	2736092.143
535	2720374.475
536	2717949.343
537	2716781.233
538	2701390.818
539	2693913.181
540	2682173.942
541	2671194.458
542	2659682.338
543	2650414.548
544	2643015.413
545	2630320.789
546	2629180.488
547	2620058.078
548	2611145.677
549	2600755.115
550	2589652.976
551	2576488.43
552	2569318.262
553	2566523.901
554	2559436.583
555	2554229.011
556	2547408.803
557	2546034.784
558	2533952.707
559	2532276.572
560	2530948.888
561	2517164.542
562	2507447.95
563	2505313.662
564	2498432.075
565	2492244.014
566	2479778.849
567	2478878.923
568	2466812.713
569	2459469.964
570	2449998.297
571	2441578.214
572	2431102.924
573	2421640.17
574	2413945.376
575	2406877.66
576	2398745.082
577	2389933.609
578	2379346.553
579	2373003.365
580	2367411.997
581	2359234.017
582	2351606.635
583	2344343.848
584	2336339.185
585	2328600.86
586	2325194.662
587	2316973.796
588	2312554.474
589	2305869.019
590	2297343.106
591	2295717.768
592	2288292.262
593	2282496.836
594	2280907.54
595	2279380.289
596	2271777.366
597	2263975.681
598	2261498.278
599	2254288.716
600	2246070.579
601	2240067.335
602	2233962.298
603	2227558.055
604	2221650.904
605	2213515.92
606	2207407.846
607	2200405.669
608	2193970.357
609	2185801.573
610	2180664.534
611	2177315.789
612	2169844.782
613	2163635.752
614	2156707.729
615	2150427.923
616	2145812.973
617	2141012.767
618	2137465.227
619	2130473.508
620	2126276.766
621	2122307.022
622	2118860.745
623	2107644.378
624	2104187.18
625	2098313.443
626	2092072.655
627	2084975.991
628	2078514.403
629	2077238.906
630	2074380.293
631	2069517.308
632	2063379.701
633	2057513.992
634	2053663.508
635	2049797.959
636	2044065.923
637	2041462.607
638	2032104.669
639	2028827.671
640	2020998.466
641	2018914.628
642	2012809.465
643	2008816.328
644	2001851.042
645	1998594.362
646	1992922.959
647	1983857.398
648	1982348.894
649	1980937.325
650	1974252.332
651	1967791.736
652	1964573.701
653	1960934.405
654	1955848.429
655	1952407.5
656	1944084.917
657	1940418.394
658	1932830.83
659	1924909.843
660	1920439.572
661	1915574.71
662	1910300.112
663	1905838.614
664	1902578.627
665	1896224.641
666	1893102.985
667	1888579.57
668	1884369.86
669	1881370.278
670	1876551.517
671	1873145.3
672	1868017.338
673	1860408.912
674	1857827.145
675	1851314.005
676	1846417.896
677	1843654.341
678	1839918.649
679	1836524.131
680	1832408.301
681	1824278.511
682	1820468.807
683	1819023.981
684	1816814.261
685	1812049.814
686	1807045.66
687	1799672.079
688	1798265.987
689	1796478.096
690	1794954.4
691	1791147.084
692	1784544.446
693	1781710.228
694	1776441.117
695	1773040.817
696	1771522.098
697	1769506.266
698	1762989.727
699	1755845.599
700	1755332.935
701	1749882.154
702	1746465.724
703	1744612.219
704	1740205.494
705	1737427.461
706	1735099.63
707	1730350.937
708	1728087.963
709	1725905.158
710	1721003.624
711	1718994.311
712	1711921.968
713	1707137.322
714	1705789.55
715	1703005.402
716	1702543.965
717	1700749.658
718	1698830.655
719	1695333.898
720	1691298.615
721	1687316.033
722	1682875.932
723	1677202.395
724	1675551.732
725	1672911.367
726	1670534.944
727	1663929.107
728	1658900.971
729	1658509.834
730	1655081.49
731	1647498.301
732	1642111.93
733	1640736.088
734	1637886.636
735	1637088.825
736	1631634.832
737	1630184.443
738	1629455.067
739	1626116.084
740	1625416.708
741	1624066.399
742	1621129.782
743	1618437.081
744	1615307.458
745	1611649.586
746	1608631.003
747	1605849.407
748	1602322.503
749	1600989.43
750	1599068.722
751	1598403.275
752	1595663.585
753	1592457.79
754	1590282.407
755	1587645.988
756	1587079.283
757	1585249.398
758	1584166.621
759	1578105.837
760	1574944.845
761	1574304.173
762	1571339.99
763	1564383.275
764	1563160.984
765	1562008.212
766	1561502.599
767	1558545.246
768	1555590.545
769	1552098.055
770	1551172.323
771	1548295.23
772	1542218.231
773	1541702.296
774	1539962.348
775	1539445.213
776	1538957.542
777	1533145.971
778	1528605.715
779	1523906.837
780	1520487.999
781	1514460.283
782	1511032.179
783	1508341.583
784	1504064.002
785	1502298.129
786	1499001.042
787	1497817.016
788	1491714.35
789	1490130.31
790	1487763.35
791	1487271.178
792	1483309.51
793	1479361.244
794	1479001.08
795	1477942.265
796	1472421.495
797	1468839.619
798	1466162.097
799	1462882.987
800	1462427.631
801	1456768.615
802	1454792.356
803	1454352.928
804	1451224.601
805	1450834.278
806	1447872.374
807	1444002.208
808	1442638.875
809	1442261.891
810	1437907.043
811	1436437.135
812	1436028.201
813	1433488.32
814	1429249.582
815	1427947.531
816	1426400.659
817	1425509.579
818	1422118.821
819	1417851.35
820	1412261.381
821	1409073.838
822	1406742.092
823	1406323.573
824	1405972.069
825	1402583.121
826	1402279.32
827	1400658.008
828	1396107.352
829	1393295.337
830	1392843.086
831	1392444.683
832	1389172.481
833	1383676.576
834	1381227.749
835	1380848.74
836	1376917.259
837	1372749.535
838	1368767.87
839	1368444.006
840	1365586.44
841	1365140.87
842	1363664.169
843	1362871.014
844	1361769.069
845	1360335.841
846	1359298.509
847	1354051.746
848	1353248.712
849	1351122.937
850	1347609.977
851	1346249.021
852	1343261.432
853	1342881.763
854	1338274.811
855	1333899.523
856	1331281.674
857	1327919.269
858	1325062.079
859	1321928.812
860	1321608.594
861	1317753.52
862	1314952.476
863	1314627.728
864	1314233.553
865	1311498.594
866	1306907.105
867	1303088.444
868	1299300.092
869	1299015.942
870	1296170.682
871	1292312.965
872	1291974.951
873	1290663.547
874	1289931.335
875	1288267.621
876	1287015.685
877	1281819.756
878	1280611.411
879	1278242.492
880	1277791.094
881	1277380.241
882	1277058.696
883	1275390.893
884	1271887.056
885	1268839.649
886	1265717.919
887	1263111.838
888	1262870.795
889	1260941.521
890	1256760.263
891	1256522.947
892	1254014.7
893	1252478.571
894	1251364.066
895	1250847.392
896	1249324.703
897	1247887.974
898	1247272.216
899	1246936.144
900	1246553.845
901	1243992.584
902	1242285.755
903	1240888.305
904	1237588.182
905	1236062.541
906	1233773.327
907	1232056.767
908	1228896.936
909	1227070.863
910	1223744.539
911	1222394.226
912	1221077.189
913	1220785.925
914	1220163.578
915	1219963.844
916	1215995.582
917	1213099.379
918	1209483.742
919	1208175.347
920	1203922.523
921	1201464.103
922	1200406.103
923	1198455.886
924	1198122.83
925	1197864.536
926	1195504.369
927	1195297.275
928	1192916.226
929	1191939.232
930	1191737.3
931	1188371.68
932	1184514.916
933	1183490.798
934	1180165.994
935	1179386.73
936	1176480.622
937	1174400.144
938	1171681.536
939	1169226.41
940	1168947.761
941	1167802.605
942	1167596.568
943	1164460.93
944	1162497.051
945	1162348.337
946	1160031.756
947	1158560.634
948	1155423.502
949	1152439.357
950	1151464.972
951	1150073.563
952	1147870.679
953	1146213.61
954	1142822.205
955	1142574.827
956	1139246.208
957	1138992.15
958	1138255.701
959	1136315.597
960	1135768.513
961	1134684.241
962	1130483.356
963	1129409.068
964	1126406.126
965	1125384.644
966	1124309.566
967	1124009.726
968	1122440.51
969	1121323.768
970	1118498.308
971	1115813.356
972	1112037.35
973	1111539.844
974	1110976.923
975	1109587.167
976	1105937.936
977	1102216.981
978	1100906.295
979	1099444.392
980	1098270.488
981	1094684.741
982	1094218.736
983	1093811.916
984	1091579.399
985	1091341.907
986	1089425.923
987	1088698.249
988	1087490.497
989	1084313.644
990	1083213.55
991	1080804.872
992	1078430.594
993	1078172.622
994	1075388.273
995	1074970.873
996	1074754.775
997	1071076.667
998	1068794.58
999	1066669.621
